epoch,index,onset_time,accuracy,pre_trial_accuracy,response_time,condition_stimulus,condition_cue,stimulus_shape,stimulus_location,num_checks,motivation,rewarded_time,production,delivered_reward,passed_time,received_reward
1,7,9.27,1.0,post-correct,0.48300000000000054,incongruent,valid,SQUARE,LEFT,1,1,11.149,CHECK-PASS-M3,1,0.32,0.6799999999999999
1,8,10.523,1.0,post-correct,0.48600000000000065,incongruent,valid,CIRCLE,RIGHT,1,1,12.399,CHECK-PASS-M3,1,0.32,0.6799999999999999
1,9,11.779,1.0,post-correct,0.4800000000000004,congruent,valid,SQUARE,RIGHT,1,1,13.632,CHECK-PASS-M3,1,0.3,0.7
1,10,13.029,1.0,post-correct,0.46300000000000097,incongruent,valid,SQUARE,LEFT,1,1,15.256,DONT-CHECK,1,0.477,0.523
1,11,14.262,1.0,post-correct,0.6969999999999992,congruent,invalid,CIRCLE,LEFT,1,1,16.492,CHECK-PASS-M3,1,0.3,0.7
1,12,15.886,1.0,post-correct,0.4660000000000011,congruent,invalid,CIRCLE,LEFT,1,1,17.747,CHECK-PASS-M3,1,0.32,0.6799999999999999
1,13,17.122,1.0,post-correct,0.48499999999999943,congruent,invalid,SQUARE,RIGHT,1,1,18.984,CHECK-PASS-M3,1,0.3,0.7
1,14,18.377,1.0,post-correct,0.4670000000000023,incongruent,invalid,SQUARE,LEFT,1,1,20.592,DONT-CHECK,0,0.459,-0.459
1,15,19.614,1.0,post-correct,0.6789999999999985,incongruent,invalid,SQUARE,LEFT,1,1,21.826,CHECK-PASS-M3,1,0.3,0.7
1,16,21.222,1.0,post-correct,0.46399999999999864,incongruent,invalid,SQUARE,LEFT,1,1,23.078,CHECK-PASS-M3,1,0.32,0.6799999999999999
1,17,22.456,1.0,post-correct,0.4819999999999993,congruent,valid,CIRCLE,LEFT,1,1,24.334,CHECK-PASS-M3,1,0.32,0.6799999999999999
1,18,23.708,1.0,post-correct,0.48600000000000065,congruent,valid,SQUARE,RIGHT,1,1,25.941,DONT-CHECK,0,0.461,-0.461
1,19,24.964,0.0,post-correct,0.6760000000000019,incongruent,invalid,CIRCLE,RIGHT,1,1,27.173,CHECK-PASS-M3,1,0.3,0.7
1,20,26.571,1.0,post-error,0.46199999999999974,congruent,invalid,SQUARE,RIGHT,1,1,28.428,CHECK-PASS-M3,1,0.32,0.6799999999999999
1,21,27.803,1.0,post-correct,0.48499999999999943,congruent,invalid,CIRCLE,LEFT,1,1,29.664,CHECK-PASS-M3,1,0.3,0.7
1,22,29.058,1.0,post-correct,0.4660000000000011,congruent,valid,CIRCLE,LEFT,1,1,30.912,CHECK-PASS-M3,1,0.32,0.6799999999999999
1,23,30.294,1.0,post-correct,0.477999999999998,congruent,valid,SQUARE,RIGHT,1,1,32.167,CHECK-PASS-M3,1,0.32,0.6799999999999999
1,24,31.542,1.0,post-correct,0.48499999999999943,congruent,valid,CIRCLE,LEFT,1,1,33.42,CHECK-PASS-M3,1,0.32,0.6799999999999999
1,25,32.797,1.0,post-correct,0.4830000000000041,congruent,invalid,SQUARE,RIGHT,1,1,35.023,DONT-CHECK,0,0.459,-0.459
1,26,34.05,0.0,post-correct,0.6739999999999995,congruent,invalid,CIRCLE,LEFT,1,1,36.254,CHECK-PASS-M3,1,0.3,0.7
1,27,35.653,1.0,post-error,0.4609999999999985,incongruent,valid,SQUARE,LEFT,1,1,37.873,DONT-CHECK,0,0.478,-0.478
1,28,36.884,1.0,post-correct,0.6910000000000025,incongruent,invalid,CIRCLE,RIGHT,1,1,39.492,DONT-CHECK,0,0.477,-0.477
1,29,38.503,0.0,post-correct,0.6920000000000002,incongruent,invalid,CIRCLE,RIGHT,1,1,40.721,CHECK-PASS-M3,1,0.3,0.7
1,30,40.122,1.0,post-error,0.4590000000000032,incongruent,valid,SQUARE,LEFT,1,1,41.953,CHECK-PASS-M3,1,0.3,0.7
1,31,41.351,1.0,post-correct,0.4620000000000033,incongruent,invalid,SQUARE,LEFT,1,1,43.207,CHECK-PASS-M3,1,0.32,0.6799999999999999
1,32,42.583,1.0,post-correct,0.48400000000000176,incongruent,invalid,CIRCLE,RIGHT,1,1,44.457,CHECK-PASS-M3,1,0.32,0.6799999999999999
1,33,43.837,1.0,post-correct,0.4799999999999969,congruent,invalid,SQUARE,RIGHT,1,1,45.687,CHECK-PASS-M3,1,0.3,0.7
1,34,45.087,1.0,post-correct,0.45999999999999375,incongruent,valid,SQUARE,LEFT,1,1,46.94,CHECK-PASS-M3,1,0.32,0.6799999999999999
1,35,46.317,1.0,post-correct,0.482999999999997,incongruent,valid,CIRCLE,RIGHT,1,1,48.189,CHECK-PASS-M3,1,0.32,0.6799999999999999
1,36,47.57,1.0,post-correct,0.4789999999999992,incongruent,invalid,SQUARE,LEFT,1,1,49.442,CHECK-PASS-M3,1,0.32,0.6799999999999999
1,37,48.819,1.0,post-correct,0.482999999999997,incongruent,invalid,CIRCLE,RIGHT,1,1,50.692,CHECK-PASS-M3,1,0.32,0.6799999999999999
1,38,50.072,1.0,post-correct,0.4799999999999969,incongruent,invalid,SQUARE,LEFT,1,1,51.943,CHECK-PASS-M3,1,0.32,0.6799999999999999
