epoch,production,u,utility,delivered_reward
62,P8,0.0,-1.3199643,8.808
62,P9,9.424309,10.751361,9.5257
62,P10,0.0,0.112517215,9.8201
63,P1,0.0,-0.5427585,0.0669
63,P2,0.0,1.2894431,0.1799
63,P3,0.0,-0.5955128,0.4743
63,P4,0.0,0.03971757,1.192
63,P5,0.0,1.8293691,2.6894
63,P6,0.0,-0.47906145,5.0
63,P7,0.0,-0.2681688,7.3106
63,P8,0.0,-0.84707355,8.808
63,P9,9.411169,10.247687,9.5257
63,P10,0.0,-1.1565037,9.8201
64,P1,0.0,-0.11130727,0.0669
64,P2,0.0,-0.2698542,0.1799
64,P3,0.0,-0.089932345,0.4743
64,P4,0.46040002,0.31539717,1.192
64,P5,0.0,-0.05466583,2.6894
64,P6,0.0,-0.24466471,5.0
64,P7,0.0,-0.5227585,7.3106
64,P8,0.0,0.1181877,8.808
64,P9,0.0,0.2130112,9.5257
64,P10,9.710532,10.060278,9.8201
65,P1,0.0,0.5676605,0.0669
65,P2,0.0,1.2415702,0.1799
65,P3,0.0,-0.34438974,0.4743
65,P4,0.0,0.24014744,1.192
65,P5,0.0,1.0179143,2.6894
65,P6,0.0,0.16614951,5.0
65,P7,0.0,-0.39207244,7.3106
65,P8,8.723522,9.103236,8.808
65,P9,0.0,1.3071761,9.5257
65,P10,3.8860402,3.2524586,9.8201
66,P1,0.0,0.11503196,0.0669
66,P2,0.0,-1.0290012,0.1799
66,P3,0.0,0.057266098,0.4743
66,P4,0.0,0.48909232,1.192
66,P5,0.0,-0.36947528,2.6894
66,P6,0.0,-0.7118616,5.0
66,P7,0.0,0.6474578,7.3106
66,P8,0.0,-0.49712598,8.808
66,P9,9.427265,8.980763,9.5257
66,P10,0.0,0.1794834,9.8201
67,P1,0.0,0.27636778,0.0669
67,P2,0.06396001,1.438669,0.1799
67,P3,0.0,1.2429343,0.4743
67,P4,0.0,-0.16393153,1.192
67,P5,0.0,0.48719257,2.6894
67,P6,0.0,0.40645802,5.0
67,P7,7.235196,7.721593,7.3106
67,P8,0.0,-0.9111567,8.808
67,P9,0.0,0.84875154,9.5257
67,P10,0.0,0.16855392,9.8201
68,P1,0.0,1.227131,0.0669
68,P2,0.0,0.46840507,0.1799
68,P3,0.0,-0.4517604,0.4743
68,P4,0.0,1.4360654,1.192
68,P5,0.0,-0.7355652,2.6894
