epoch,production,u,utility,delivered_reward
69,P4,0.0,0.52391505,3
69,P5,0.0,1.2036657,4
69,P6,0.0,-0.0644922,5
69,P7,0.0,-0.5593627,6
69,P8,0.0,-0.5720378,7
69,P9,0.0,0.31535766,8
69,P10,8.8949995,8.39119,9
70,P1,0.0,0.20268555,0
70,P2,0.0,1.097281,1
70,P3,0.0,-0.51019615,2
70,P4,0.0,-0.55288774,3
70,P5,0.0,-1.2944546,4
70,P6,0.0,-0.6359557,5
70,P7,0.0,-0.27872637,6
70,P8,0.0,-0.24200192,7
70,P9,7.9059997,9.192329,8
70,P10,0.0,2.2929056,9
71,P1,0.0,-0.8580133,0
71,P2,0.0,0.64950335,1
71,P3,0.0,-0.506821,2
71,P4,1.8937601,1.6320858,3
71,P5,0.0,-0.6467876,4
71,P6,0.0,1.2173783,5
71,P7,0.0,1.7414187,6
71,P8,6.9169993,7.5737743,7
71,P9,0.0,-1.6388323,8
71,P10,0.0,-1.8194281,9
72,P1,0.0,-0.8252659,0
72,P2,0.0,-0.22276676,1
72,P3,0.0,1.7657174,2
72,P4,0.0,-1.2521329,3
72,P5,0.0,1.1622769,4
72,P6,0.0,0.20007046,5
72,P7,5.9279995,5.8375435,6
72,P8,0.0,-0.15711117,7
72,P9,0.0,-0.5290604,8
72,P10,0.0,1.5453143,9
73,P1,0.0,-1.0555525,0
73,P2,0.0,-0.14117931,1
73,P3,0.0,0.85027397,2
73,P4,0.0,0.28394717,3
73,P5,0.0,0.64386433,4
73,P6,0.0,0.23560458,5
73,P7,0.0,0.6526977,6
73,P8,0.0,0.3368938,7
73,P9,0.0,-0.2735877,8
73,P10,8.8949995,8.900782,9
74,P1,0.0,-0.48719916,0
74,P2,0.0,-0.23262714,1
74,P3,0.0,1.6337006,2
74,P4,0.0,-0.25462094,3
74,P5,0.0,1.2419293,4
74,P6,0.0,0.11028658,5
74,P7,5.9279995,4.8490677,6
74,P8,0.0,-0.09407193,7
74,P9,0.0,0.20109795,8
74,P10,0.0,-2.2550337,9
75,P1,0.0,0.91989005,0
75,P2,0.0,-0.4568896,1
75,P3,0.0,-1.3667852,2
75,P4,0.0,-1.4347332,3
75,P5,0.0,-0.5838825,4
75,P6,0.0,-1.2921269,5
75,P7,0.0,0.10964819,6
75,P8,6.9169993,6.825499,7
75,P9,0.0,0.34982544,8
75,P10,0.0,-0.6180803,9
76,P1,0.0,0.053572338,0
76,P2,0.39200002,0.17352566,1
76,P3,0.0,-0.7313236,2
76,P4,0.0,-0.9365152,3
